t,L2_u_pct,L2_v_pct,L2_p_demeaned_pct,L2_velocity_combined_pct,ref_rms_u,pred_rms_u,ref_rms_v,pred_rms_v,ref_rms_p_demeaned,pred_rms_p_demeaned
0.4099999964237213,4.1161823,13.157338,6.1910305,4.4700136,0.664237380027771,0.6578099727630615,0.0935588851571083,0.09097467362880707,0.6304705739021301,0.5951049327850342
0.41999998688697815,4.112468,13.1266,6.245361,4.465336,0.676476240158081,0.6698150634765625,0.09534528106451035,0.09268501400947571,0.5952589511871338,0.5627496242523193
0.4300000071525574,4.1064916,13.103816,6.2724376,4.4589663,0.687511146068573,0.6807330846786499,0.09694919735193253,0.0942547470331192,0.5584176182746887,0.5294952988624573
0.4399999976158142,4.0983515,13.090088,6.307252,4.4510775,0.6972991824150085,0.6905449628829956,0.09836597740650177,0.0956815555691719,0.5201417207717896,0.4955633878707886
0.44999998807907104,4.0885386,13.08804,6.4311914,4.4422817,0.7058020234107971,0.6992371082305908,0.09959227591753006,0.09696388244628906,0.4806520342826843,0.46118128299713135
0.46000000834465027,4.078079,13.101776,6.8039784,4.43377,0.7129865884780884,0.7068017721176147,0.10062599182128906,0.09810087084770203,0.4402029812335968,0.4265832006931305
0.4699999988079071,4.068761,13.136742,7.6862626,4.4275,0.7188245058059692,0.7132362723350525,0.10146607458591461,0.09909238666296005,0.399097740650177,0.3920125961303711
0.47999998927116394,4.06336,13.199627,9.417721,4.4263945,0.7232932448387146,0.7185431122779846,0.10211250931024551,0.09993892163038254,0.3577136993408203,0.3577248454093933
0.49000000953674316,4.065942,13.298111,12.370927,4.4345965,0.7263753414154053,0.7227299213409424,0.10256610065698624,0.10064160823822021,0.31654077768325806,0.3239935636520386
0.5,4.082158,13.440665,16.96846,4.457713,0.728058934211731,0.7258089184761047,0.10282832384109497,0.10120215266942978,0.2762623131275177,0.2911207973957062
